,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
B007,0.7187,0.8336,0.8367,0.8515,0.8502,0.8554,0.8548,0.8629,0.8613,0.8652,0.8686,0.8692,0.8724,0.8668,0.8765,0.8769,0.8761,0.8794,0.8765,0.8805,0.8826,0.8822,0.8830,0.8846,0.8856,0.8844,0.8866,0.8879,0.8879,0.8903,0.8918,0.8581,0.8698,0.8743,0.8771,0.8795,0.8842,0.8835,0.8860,0.8863,0.8889,0.8896,0.8913,0.8919,0.8907,0.8921,0.8928,0.8944,0.8995,0.8995
B014,0.6979,0.8108,0.8221,0.8331,0.8363,0.8412,0.8539,0.8491,0.8533,0.8569,0.8611,0.8646,0.8630,0.8694,0.8691,0.8701,0.8712,0.8684,0.8738,0.8780,0.8777,0.8787,0.8800,0.8827,0.8841,0.8845,0.8863,0.8889,0.8893,0.8880,0.8900,0.8136,0.8472,0.8571,0.8632,0.8638,0.8685,0.8736,0.8778,0.8775,0.8801,0.8838,0.8859,0.8876,0.8866,0.8907,0.8916,0.8903,0.8967,0.8967
B021,0.5790,0.6491,0.6739,0.7015,0.7063,0.7137,0.7313,0.7378,0.7449,0.7515,0.7569,0.7655,0.7645,0.7719,0.7788,0.7810,0.7795,0.7826,0.7875,0.7887,0.7931,0.7897,0.7912,0.7979,0.7989,0.7958,0.8033,0.8040,0.8039,0.8077,0.8072,0.7475,0.7780,0.7859,0.7943,0.7971,0.7999,0.8066,0.8064,0.8088,0.8134,0.8158,0.8154,0.8157,0.8182,0.8231,0.8235,0.8248,0.8294,0.8305
IR007,0.9840,0.9937,0.9971,0.9980,0.9987,0.9977,0.9988,0.9987,0.9989,0.9988,0.9991,0.9995,0.9989,0.9995,0.9994,0.9992,0.9992,0.9993,0.9991,0.9993,0.9993,0.9992,0.9993,0.9994,0.9996,0.9992,0.9994,0.9992,0.9992,0.9992,0.9998,0.9954,0.9981,0.9987,0.9983,0.9986,0.9984,0.9981,0.9987,0.9982,0.9988,0.9984,0.9989,0.9987,0.9986,0.9988,0.9987,0.9986,0.9991,0.9991
IR014,0.7001,0.8580,0.8736,0.8842,0.8884,0.8948,0.8989,0.9037,0.9091,0.9079,0.9108,0.9152,0.9148,0.9165,0.9216,0.9180,0.9218,0.9228,0.9265,0.9257,0.9268,0.9282,0.9277,0.9285,0.9323,0.9317,0.9333,0.9342,0.9355,0.9376,0.9362,0.8038,0.8311,0.8351,0.8424,0.8442,0.8450,0.8505,0.8498,0.8533,0.8575,0.8595,0.8581,0.8597,0.8618,0.8600,0.8625,0.8669,0.8674,0.8684
IR021,0.9522,0.9654,0.9710,0.9772,0.9784,0.9778,0.9808,0.9835,0.9825,0.9823,0.9851,0.9844,0.9854,0.9871,0.9853,0.9872,0.9851,0.9868,0.9870,0.9876,0.9876,0.9893,0.9863,0.9879,0.9880,0.9886,0.9903,0.9902,0.9912,0.9906,0.9903,0.9874,0.9890,0.9895,0.9905,0.9907,0.9907,0.9907,0.9912,0.9916,0.9913,0.9914,0.9914,0.9914,0.9922,0.9920,0.9916,0.9919,0.9922,0.9922
OR007@6,0.7364,0.9796,0.9887,0.9892,0.9901,0.9904,0.9911,0.9914,0.9917,0.9919,0.9922,0.9918,0.9938,0.9919,0.9935,0.9923,0.9939,0.9936,0.9932,0.9942,0.9938,0.9932,0.9934,0.9942,0.9946,0.9950,0.9954,0.9947,0.9947,0.9952,0.9948,0.9923,0.9926,0.9934,0.9932,0.9924,0.9930,0.9928,0.9934,0.9938,0.9942,0.9944,0.9933,0.9938,0.9938,0.9943,0.9934,0.9940,0.9940,0.9942
OR014@6,0.9626,0.9806,0.9847,0.9886,0.9876,0.9872,0.9893,0.9890,0.9905,0.9900,0.9911,0.9912,0.9902,0.9902,0.9920,0.9918,0.9912,0.9913,0.9923,0.9932,0.9918,0.9931,0.9927,0.9922,0.9937,0.9935,0.9938,0.9934,0.9937,0.9933,0.9939,0.9756,0.9798,0.9819,0.9806,0.9825,0.9835,0.9841,0.9846,0.9845,0.9854,0.9857,0.9862,0.9855,0.9869,0.9873,0.9864,0.9869,0.9870,0.9872
OR021@6,0.6587,0.8519,0.8904,0.9076,0.9194,0.9226,0.9261,0.9296,0.9321,0.9344,0.9372,0.9391,0.9412,0.9405,0.9414,0.9425,0.9442,0.9468,0.9478,0.9492,0.9488,0.9493,0.9490,0.9518,0.9542,0.9532,0.9567,0.9557,0.9524,0.9569,0.9572,0.9243,0.9335,0.9346,0.9373,0.9399,0.9405,0.9401,0.9428,0.9420,0.9454,0.9460,0.9471,0.9465,0.9475,0.9490,0.9469,0.9489,0.9519,0.9509
NORMAL,0.9843,0.9997,0.9999,0.9999,0.9999,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9999,1.0000,1.0000,1.0000,0.9999,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9995,1.0000,0.9999,0.9999,1.0000,0.9999,0.9999,0.9999,0.9999,1.0000,0.9999,1.0000,0.9999,0.9998,1.0000,1.0000,1.0000,1.0000,0.9999
